Endemic_Potential_R0,Endemic_Potential_Duration,Demography_Urban_Rural_Split,Demography_Population_Density,Environmental_Index,Socio_economic_Gini_Index,Socio_economic_Poverty_Rates,Communication_Affordability,Socio_economic_GDP_per_capita,Socio_economic_Employment_Rates,Socio_economic_Education_Levels
2.9312804,21.120396,0.64341784,162.24506,0.164981,0.43829677,0.9394297,0.75444424,21825.129,0.84652585,0.93716246
3.353536,7.411342,0.18834795,504.06393,0.75660825,0.81168985,0.6211252,0.5940082,3349.2068,0.61991113,0.06670313
1.6792808,19.388893,0.64421856,240.59866,0.3315999,0.6335315,0.5883989,0.55535144,5859.544,0.52901644,0.4921831
12.581547,7.235523,0.7756764,129.26663,0.61052305,0.58665466,0.84243006,0.14568606,5602.601,0.8321231,0.39484936
2.8298059,13.937254,0.12123585,384.55658,0.105151735,0.6129579,0.43992174,0.1503275,3772.3945,0.65118396,0.32252374
13.08591,8.690269,0.25179157,736.133,0.6330564,0.09760544,0.41895476,0.37539488,4808.9795,0.3002006,0.42733607
245.06796,7.7453613,0.7438875,438.52322,0.4069845,0.53629553,0.8067777,0.23080501,2754.243,0.5523244,0.83263654
2.0179808,6.161746,0.16583985,151.78432,0.3433511,0.33768156,0.82151365,0.5273914,4574.9673,0.4836667,0.32586166
1.3948265,3.9399688,0.534821,352.4112,0.33531022,0.40174577,0.4322728,0.4524205,3155.0823,0.7233465,0.73036265
13.31055,20.530485,0.058640957,50.440723,0.41703647,0.6821791,0.49276817,0.67396045,2123.8699,0.7184067,0.43147236
3.6681716,3.392021,0.9451592,331.4838,0.25792086,0.3403508,0.84328824,0.17614193,2752.4026,0.6760889,0.48629385
2.4290736,5.7440214,0.5118701,299.60193,0.43872383,0.44813824,0.80841154,0.5588738,2093.1096,0.61793053,0.50881064
15.607438,23.01614,0.80400527,247.17888,0.22147593,0.32660642,0.42861405,0.44484517,23753.99,0.5045761,0.5071928
4.511129,8.869542,0.372865,896.57886,0.29966983,0.3728216,0.43920135,0.5262444,2939.6677,0.8565476,0.6943785
14.992635,15.981702,0.48714367,1583.6691,0.29041356,0.48788536,0.8153351,0.14845036,2201.425,0.6456167,0.7912596
1.4315119,3.8972995,0.1986073,96.8539,0.3877391,0.82912,0.5620666,0.52348,3158.9524,0.12015256,0.47284573
1.6138895,7.831866,0.68739766,216.05257,0.7886729,0.6849299,0.57927513,0.6574993,8774.496,0.69010425,0.21946946
1.8074719,7.6456585,0.1634141,401.48038,0.89023674,0.47193503,0.4833725,0.17065656,9995.654,0.23929021,0.8074059
13.706741,14.713409,0.9313173,250.2412,0.3566839,0.29280385,0.8144771,0.42492613,2762.0632,0.20209616,0.6154352
12.738715,9.8845415,0.49553305,239.67433,0.08346921,0.42989567,0.75928056,0.024040813,1146.1011,0.2702665,0.31345958
3.238066,8.354747,0.8200008,457.66403,0.27221462,0.8076657,0.8159172,0.6663696,6541.847,0.49607623,0.66903025
1.8496095,3.4306083,0.74861294,98.75987,0.6565632,0.38012534,0.31540203,0.4315301,1076.7549,0.8808037,0.8022251
2.6143775,17.016144,0.34834313,517.00665,0.73473424,0.27203423,0.21193421,0.24462639,3375.2917,0.5993211,0.3343246
3.387811,3.3155513,0.36107117,179.04547,0.53777546,0.44724962,0.62037134,0.39412108,17469.13,0.39320785,0.27521086
1.6279799,8.607841,0.7101199,58.372906,0.6701822,0.63255954,0.1964559,0.55851537,6381.061,0.7441223,0.42439467
3.5366719,1.6253817,0.9036993,263.34903,0.47036573,0.5138199,0.23626195,0.1945941,2311.911,0.7818265,0.5977767
16.178488,23.934343,0.30399492,319.50998,0.792396,0.68214494,0.88710886,0.941576,3591.555,0.42240104,0.20637645
1.4985904,8.080826,0.23436749,14.494614,0.11110202,0.6902338,0.69351923,0.5731809,3102.365,0.8638929,0.30523184
5.1548347,8.233867,0.73498374,68.44895,0.27066657,0.4668877,0.2939141,0.12767664,7726.1953,0.7100404,0.60449344
2.0160677,10.141931,0.76414424,1071.7242,0.6992066,0.89658296,0.5620364,0.4426613,1315.2744,0.4904015,0.8350329
2.3615236,4.8586445,0.28639534,1009.98883,0.0741746,0.1009774,0.292779,0.5981658,4015.2866,0.37529597,0.87225735
15.947115,19.449905,0.20198177,151.61577,0.30668527,0.4051376,0.40573636,0.40328547,24567.273,0.5944433,0.7026416
16.529774,14.519473,0.49300486,801.9693,0.23086469,0.46509194,0.90795046,0.3164254,661.804,0.5963231,0.85759073
1.3703936,2.3477044,0.24930856,62.42034,0.3806256,0.32129925,0.39058796,0.51973677,11668.672,0.16284895,0.77777606
15.589125,14.303871,0.2716375,75.978424,0.5050537,0.6635887,0.3075042,0.22196053,8898.0205,0.44502833,0.58924705
4.535202,8.664303,0.7976452,384.13223,0.4048926,0.37571824,0.37792286,0.33796355,2138.281,0.552685,0.17642528
13.404139,7.893549,0.5142837,655.6991,0.64750564,0.20237221,0.9133308,0.65622604,571.5747,0.7529799,0.6720851
5.429753,2.5526457,0.6658188,213.15053,0.7573803,0.50949925,0.28613067,0.2933856,3046.8735,0.7448241,0.824017
4.2509003,9.593843,0.31367078,407.68988,0.6377422,0.6439051,0.8598083,0.8689603,3782.6074,0.5498336,0.1970399
1.5784491,3.29038,0.3768428,1165.6401,0.69438636,0.8774281,0.78600544,0.3221136,3471.7456,0.12444009,0.2614921
2.346126,10.214873,0.62976503,449.82263,0.43361956,0.6388186,0.55155414,0.28058544,5115.8105,0.44319883,0.64459664
2.2027373,8.877262,0.07916248,149.20615,0.60923296,0.5362795,0.7944216,0.45694768,17699.244,0.6471572,0.6175122
