Healthcare_Index_Tier_X_hospitals,Healthcare_Index_Workforce_capacity,Healthcare_Index_Bed_availability_per_capita,Healthcare_Index_Expenditure_per_capita,Immunization_Coverage,Economic_Index_Budget_allocation_per_capita,Economic_Index_Fraction_of_total_budget,Political_Stability_Index
0.30636296,0.52314174,0.4922903,0.326152,0.32809323,0.48677555,0.5685507,0.48006007
0.3479265,0.5006703,0.3926989,0.37130225,0.27759168,0.53309715,0.6116184,0.4822257
0.35956377,0.5767962,0.64152634,0.45897388,0.21718247,0.53601134,0.6107388,0.5265192
0.3366627,0.57705796,0.4367926,0.48824394,0.2833657,0.5063173,0.6717265,0.49659318
0.40673983,0.6209528,0.47455972,0.47370508,0.31996012,0.4970374,0.73152566,0.5356985
0.44416237,0.6401401,0.47998425,0.5155451,0.38722703,0.5251275,0.57224953,0.51313126
0.4228711,0.71277976,0.4904326,0.51123285,0.33652213,0.45437834,0.54285115,0.47931474
0.38686028,0.54507697,0.3203436,0.42993265,0.26153827,0.4790102,0.4939703,0.6243601
0.35879996,0.56268805,0.38344944,0.343985,0.33485222,0.47737083,0.5683111,0.5475997
0.40146193,0.6439476,0.3600158,0.42076942,0.39913976,0.52487665,0.6372704,0.3777153
0.41710585,0.5799458,0.34749597,0.34390113,0.33006862,0.53393704,0.67882705,0.53772575
0.37734494,0.5825148,0.43471685,0.3575757,0.4157167,0.47084498,0.6299528,0.5778335
0.3772311,0.6087453,0.37065345,0.20831805,0.49878442,0.43223795,0.5429032,0.4532483
0.33239004,0.6143563,0.34214634,0.24616404,0.4213483,0.37815902,0.6597707,0.48466915
0.31692702,0.60083646,0.35414964,0.27031034,0.2783038,0.39192763,0.6752138,0.4203013
0.35507843,0.5987616,0.47601822,0.31872022,0.24953713,0.41784176,0.6297388,0.4392207
0.2882902,0.60448307,0.4403382,0.3287602,0.18487912,0.42697826,0.48400602,0.47059074
0.31127092,0.6147143,0.44976676,0.3822629,0.21130504,0.4259096,0.51328826,0.40511513
0.41034976,0.62728155,0.3443513,0.39445838,0.27388862,0.4401077,0.5278582,0.47863856
0.41624913,0.5643659,0.27768275,0.3931394,0.24786475,0.51545644,0.56106174,0.4633711
0.3145048,0.48261812,0.46443826,0.30591917,0.24487698,0.5920458,0.5604119,0.40732446
0.16863431,0.48483422,0.5991495,0.346908,0.19193153,0.5173297,0.47757772,0.38929343
0.29268235,0.42784175,0.58072954,0.42574817,0.25874114,0.5349629,0.486595,0.37245706
0.3391341,0.49394432,0.52773905,0.38313743,0.2574523,0.56739056,0.4370463,0.5079004
0.38501564,0.46539116,0.55734,0.43464506,0.17881924,0.57797253,0.44423354,0.5517817
0.34805638,0.46910733,0.49249357,0.45614427,0.14848568,0.56194067,0.39585644,0.5280563
0.33082426,0.5341445,0.4023299,0.42411703,0.28207067,0.54587805,0.5735205,0.53912354
0.32710078,0.641881,0.49897456,0.38023037,0.3818621,0.52607846,0.56419826,0.5481329
0.30738714,0.5578407,0.6149987,0.36924633,0.37008426,0.4767466,0.5073718,0.5698995
0.30901203,0.57781005,0.56286955,0.3552163,0.43648162,0.5070623,0.5237773,0.5485077
0.2709529,0.60905904,0.402127,0.30474868,0.37645182,0.57489955,0.5157253,0.57703584
0.23907216,0.64329636,0.4756937,0.2638024,0.34137627,0.52911246,0.5566361,0.65660757
0.25356138,0.6137892,0.62761045,0.22677483,0.3673747,0.52493906,0.37675744,0.71925306
0.21656492,0.61475104,0.30457327,0.31148478,0.27204216,0.495404,0.423754,0.7053823
0.2241452,0.6475551,0.40296417,0.30649072,0.31847423,0.46905848,0.58640295,0.7459731
0.19216877,0.60163105,0.39582404,0.2814586,0.29097846,0.5391962,0.5884014,0.7147192
0.1878542,0.6307991,0.29710767,0.2269789,0.15832835,0.5823365,0.5399978,0.6477885
