Frequency_of_outbreaks,Magnitude_of_outbreaks_Deaths,Magnitude_of_outbreaks_Infected,Magnitude_of_outbreaks_Severity_Index,Security_and_Conflict_Index
0.56187713,0.65211934,0.69373375,0.7217085,0.4942889
0.52841693,0.48830616,0.69225574,0.6297615,0.51174337
0.5784938,0.555039,0.6412289,0.63962096,0.36596277
0.53660977,0.44700915,0.5781067,0.5697931,0.340273
0.47223568,0.59898466,0.67178714,0.5771666,0.37933826
0.5924816,0.6773403,0.7336154,0.65807694,0.37888956
0.6434616,0.66142607,0.6758473,0.55274934,0.3625784
0.69973534,0.55538005,0.6288775,0.5691209,0.3900543
0.59538317,0.6050739,0.6087913,0.594868,0.36375737
0.6799902,0.6449873,0.73209715,0.60367024,0.408442
0.5115555,0.4932626,0.5535634,0.449906,0.42011583
0.6241856,0.5910886,0.5663307,0.5965107,0.4086244
0.58170354,0.66717935,0.5840724,0.5798234,0.33268255
0.6547601,0.5960146,0.7090037,0.5982184,0.39452925
0.5679149,0.5880546,0.64149487,0.61463153,0.37730056
0.6344112,0.64676535,0.6619808,0.59025705,0.41545555
0.5896253,0.63575196,0.7085316,0.49507266,0.40270883
0.5684203,0.64752465,0.68168306,0.5681472,0.47389603
0.55574566,0.48338777,0.7063508,0.5580387,0.46720392
0.6238026,0.56729966,0.61114216,0.48376518,0.42451438
0.53161746,0.49073884,0.66682786,0.5688753,0.39795855
0.6048544,0.51155245,0.66022414,0.6190216,0.4614876
0.67300653,0.61752564,0.745925,0.62981164,0.42327827
0.52780426,0.5942602,0.614853,0.5929357,0.35672486
0.60609215,0.5825794,0.63612443,0.54481196,0.33956003
0.5823373,0.5881556,0.63104856,0.5312048,0.42769945
0.6753967,0.66702026,0.6997148,0.6968267,0.45364866
0.5710962,0.49796987,0.67974627,0.5952439,0.3763793
0.6387031,0.6546441,0.6850896,0.64829385,0.3974475
0.6223085,0.5807262,0.67994475,0.5359422,0.34049964
0.6345778,0.5978362,0.66648245,0.620102,0.3682259
0.6603473,0.65553415,0.7176789,0.6586859,0.399208
0.68071014,0.72978514,0.721418,0.61711085,0.41436163
0.69735736,0.6613337,0.6640268,0.7062006,0.45385242
0.70556074,0.6074758,0.6939456,0.53181803,0.56549585
0.4909098,0.54070115,0.6297601,0.5857502,0.55142426
