proposal_id,Score_Maximize Health Impact,Score_Maximize Value for Money,Score_Reinforce Financial Sustainability,Score_Support Countries with the Greatest Needs,Score_equity,Score_final
P0000,0.1974914,0.14068007,0.24775648,0.17460507,0.32463060716823916,6.154389891863982
P0001,0.6118094,0.3974746,0.7261021,0.8467041,0.2501689134746633,15.29323403843673
P0002,0.59474623,0.49451077,0.66017526,0.7392928,0.16696117186026993,10.062997541588013
P0003,0.39849907,0.6140499,0.51081645,0.21027112,0.6516110355269596,30.170208454631435
P0004,0.2294969,0.20319921,0.20032007,0.26006395,0.6138467365104965,13.43700963162533
P0005,0.38013184,0.26780033,0.4796716,0.429698,0.6361634078701792,24.094832935090267
P0006,0.4712289,0.44397306,0.6906588,0.40140277,0.6053533311192432,30.71779149570458
P0007,0.46080768,0.38460964,0.2980256,0.33115244,0.5089287669912154,19.22755722129089
P0008,0.5187303,0.46075058,0.7409555,0.58349895,0.6902715140422788,39.111337012022
P0009,0.44509286,0.49419725,0.39722276,0.25267124,0.5878063102196824,24.62869723654149
P0010,0.44837475,0.26053536,0.45180494,0.35628372,0.6331389926565613,24.000200654396604
P0011,0.3133158,0.30357897,0.44932705,0.30562663,0.8281467269798042,28.425653195048266
P0012,0.68915695,0.6283618,0.6184844,0.6446251,0.1510849878839129,9.76870967193777
P0013,0.3418597,0.29809248,0.23777801,0.25933337,0.5706768358562718,16.568470367378367
P0014,0.3589229,0.29287243,0.35816902,0.31879485,0.4816778651120697,16.035059843537194
P0015,0.5005608,0.36167163,0.5354858,0.56882757,0.31995562549948875,15.289569369303962
P0016,0.72330105,0.64314806,0.8033358,0.8107921,0.3334946889544368,24.42473358772154
P0017,0.40177113,0.28271717,0.32035857,0.5983231,0.3130123790078775,11.74374321596242
P0018,0.38001293,0.2630971,0.2685445,0.44410008,0.3708620336744252,12.115474716994107
P0019,0.44026607,0.51118475,0.47404087,0.40776318,0.38165296224584094,17.751058802872052
P0020,0.5112529,0.540336,0.5527038,0.38247836,0.6686951859037997,34.17195266621409
P0021,0.46258432,0.55369174,0.55825615,0.38136947,0.5592498392456683,28.054896833232977
P0022,0.3113209,0.15909803,0.22680348,0.2598582,0.7288316232201135,17.259117302552827
P0023,0.70653653,0.6623988,0.709851,0.7081586,0.3264657505981249,22.668709945374037
P0024,0.64325,0.56862694,0.80334306,0.7390768,0.48606274892438134,32.821893822770285
P0025,0.32282764,0.39245307,0.40927243,0.21281672,0.7652638094581792,26.69430401760457
P0026,0.26920205,0.20395684,0.38977224,0.3378333,0.5137149616881597,14.901110823977598
P0027,0.7076764,0.66599387,0.72858,0.5686412,0.6077706430948391,41.300586255631735
P0028,0.07711285,0.094257236,0.15962434,0.031066477,0.560726598531509,5.381690738038236
P0029,0.8713425,0.8651229,0.653901,0.74833965,0.33459700719164615,26.656198829533746
P0030,0.84948003,0.69653344,0.78240144,0.8301697,0.40570242875733475,31.804223390847845
P0031,0.5299221,0.45748842,0.4302804,0.41460526,0.40979273461222954,19.095688889696216
